Sentence,word,Word_Counts,Word_Counts_
['Холбооны прокурорууд Сэм БэнкманФридэд  жилийн ял төлөвлөж байв.'],холбоо прокурор сэм бэнкманфридэд жил ял төлөвлө бай,8,9
['Харин түүний өмгөөлөгч үйлчлүүлэгчээ жилийн ялаар шийтгүүлэх нь хангалттай гэж үзэж байжээ.'],өмгөөл үйлчлүүлэгч жил ял шийтгүүлэх хангалт үз бай,8,13
['Харилцагчдынхаа зовлонг ойлгож байна.'],харилцагч зовлон ойлго бай,4,5
['Би тэдний зовлонг багасгах талаар огт бодоогүй нь алдаа байлаа.'],зовлон багасгах огт бодоо ал бай,6,11
['Шүүх үйл ажиллагааны турш би үүнийгээ илэрхийлж чадаагүйдээ харамсаж байна гэж БэнкманФрид ялын дүгнэлтийг сонссоныхоо дараа шүүгчид хандаж хэлжээ.'],шүү үйл ажиллагаа турш үүн илэрхийл чадаагүйдээ харамс бай бэнкманфрид ял дүгнэлт сонссоныхоо дар шүүгч ханд хэл,17,20
['Массачусетсын Технологийн Их сургуулийн төгсөгч тэрбээр крипто зах зээлийн ид өсөлтийн үед Форбс сэтгүүлийн тооцоолсноор  тэрбумын хөрөнгөтэй болж  хүрэхээсээ өмнө олон тэрбумын эзэн болсон суутан хэмээн алдаршиж байлаа.'],массачусетсын технологийн их төгс крипто зах зээл ид өсөлт үе форбс сэтгүүл тооцоолсноор тэрбум хөрөнгө бол хүрэхээсээ өмнө ол тэрбум эзэн бол суутан алдарш бай,25,29
['Тэр бас  оны Конгрессын завсрын сонгуулийн үеэр Ардчилсан Намын нэр дэвшигчдийн томоохон хандивлагч болж байжээ.'],он конгрессын завсар сонгууль үе ардчил нам нэр дэвшигчдийн томоохон хандивла бол бай,13,16
['Гэвч FTX арилжааны төв  оны арваннэгдүгээр сард дампуурсны дараа мөнгөө алдсан хохирогчдын гомдлын дагуу Сэм БэнкманФридийг  оны наймдугаар сард баривчилсан юм.'],гэ арилжаа төв он арваннэгдүгээр сар дампуурсны дар мөнгө алд хохирогч гомдол сэм бэнкманфридийг он наймдугаар сар баривчил,18,22
['Түүнчлэн хамгийн түгээмэл хэрэглэгддэг  нууц үгийн ийг нь нэг секундийн дотор тайлах боломжтой гэсэн дүгнэлт гарчээ.'],түүнчлэн түгээмэл хэрэглэгддэг нууц үгийн ийг секундийн дотор тайл боломж дүгнэлт гар,12,17
['Онлайн орчинд өөрийн аюулгүй байдлаа хамгаалах кибер халдлагаас сэргийлэхийн тулд нууц үгтээ анхаарал хандуулж өөр хэн нэгэн мэдэх боломжгүй нууц үг хэрэглэх зайлшгүй шаардлага бий.'],онлайн орчин аюул байдал хамгаал кибер халдлага сэргийлэхийн нууц үгт анхаарал хандуулж өөр нэгэн мэд боломж нууц үг хэрэглэ зайл шаардлага,21,26
['Ингээд дэлхий даяар хамгийн түгээмэл ашигладаг таахад хамгийн хялбар цахим халдлагад өртөх өндөр эрсдэлтэй  нууц үгийг танилцуулж байна.'],ингэ дая хамаг түгээмэл ашигла таахад хамаг хялбар цахим халдлага өрт өндөр эрсэд нууц үг танилцуулж бай,17,19
['Хэрвээ та эдгээр нууц үгээс ашигладаг бол нэн даруй солихыг зөвлөж байна.'],хэрвээ нууц үгээс ашигла нэн даруй солихыг зөвлө бай,9,13
['Тусгаар тогтносон байхын өөртөө эзэн sovereign байхын амин сүнс нь шийдвэр гаргах эрх мэдэл.'],тусгаар тогтно байхын өөр эзэн sovereign байхын амин сүнс шийдвэр гарга эрх мэдэл,13,15
['Ардчилсан дэглэмд ард түмэн төр улсын эзэн байх ёстой бөгөөд ард түмний шийдвэр эцсийн дээд шийдвэр байх учиртай.'],ардчил дэглэм ар түмэн төр улс эзэн бай ар түмэн шийдвэр эцэс дээд шийдвэр бай учир,16,19
['Энэ нь ард түмэн хэдий чинээ эрх чөлөөтэй байна төдий чинээ өөртөө эзэн байж улс орон төдий хэрээр эрх чөлөөтэй тусгаар тогтносон байна гэсэн үг.'],ар түмэн хэдий чинэ эрх чөлөө бай төдий чинэ өөр эзэн бай улс ор төдий хэр эрх чөлөө тусгаар тогтно бай үг,22,26
['Тиймээс ардчилсан улсын хувьд амь мэт эрхэмлэн хамгаалах учиртай зүйл нь ард түмний эрх эрх чөлөө.'],тийм улс хувь амь эрхэмлэ хамгаал учир зүйл ар түмэн эрх эрх чөлөө,13,17
['Ард түмэн эрхтэй эрх чөлөөтэй байх эзэн эрхээ хэрэгжүүлэх үндсэн хэлбэр арга зам нь үндсэн хуульт дэглэм.'],ар түмэн эрх эрх чөлөө бай эзэн эрх хэрэгжүүлэх үндсэн хэлбэр ар зам үндсэн хуульт дэглэ,16,18
['Үндсэн хуулиар ард түмэн эрх эрх чөлөөгөө хуульчлах төдийгүй төрийн эрх мэдлийг хууль тогтоох гүйцэтгэх шүүх хэмээн хувааж тус бүр өөр өөр байгууллагад хуваарилж.'],үндсэн хууль ар түмэн эрх эрх чөлөө хуульчил төдий төр эрх мэдэл хууль тогтоох гүйцэтгэ шүү хуваа тус өөр өөр байгууллага хуваарил,22,25
['Хэрвээ та эдгээр нууц үгээс ашигладаг бол нэн даруй солихыг зөвлөж байна.'],хэрвээ нууц үгээс ашигла нэн даруй солихыг зөвлө бай,9,13
['Ардчилсан нам УИХын  оны сонгуулийн мөрийн хөтөлбөр боловсруулах үйл явцдаа гишүүд дэмжигчдийн санал авч тэдний үзэл бодлыг тусгахаар Бүтэн ардчилал уулзалт хэлэлцүүлгийг орон даяар зохион байгуулж байна.'],ардчил нам уихын он сонгууль мөр хөтөлбөр боловсруулах үйл явц гишүүн дэмжигчдийн санал авч үзэл бодол тусгахаар бүт ардчилал уулзалт хэлэлцүүлэг ор дая зохио байгуул бай,26,28
['Бүтэн ардчилал уулзалт хэлэлцүүлэгээр Ардчилсан намын мөрийн хөтөлбөрт бүх гишүүдээс санал авах зорилгоор зохион байгуулж буй хэлэлцүүлэг юм.'],бүт ардчилал уулзалт хэлэлцүүлэгээр ардчил нам мөр хөтөлбөр гишүүн санал ав зорилго зохио байгуул хэлэлцүүлэг,15,19
['Энэ удаагийн уулзалт өнөөдөр.'],энэ уулзалт өнөөдөр,3,5
['Чингэлтэй Сүхбаатар дүүргийн иргэд сонгогчидтой уулзалт хийлээ.'],чингэ сүхбаатар дүүрэг иргэн сонгогч уулзалт хий,7,8
['Уулзалтыг нээж Ардчилсан намын дарга Л.Гантөмөр үг хэлсэн юм.'],уулзалт нээ ардчил нам дар л гантөмөр үг хэл,9,10
['Тэрбээр  онд Ардчилсан нам Монголчуудад юу санал болгох вэ гэдгээ хэлэлцэх болно.'],тэрбээр ардчил нам монгол санал болго гэдэг хэлэлцэх бол,9,13
['Бид хэрхэн бүсчилсэн хөгжлийг бий болгох хэрхэн тэр бүсийг засч чадах тухайгаа зурж улс орон даяар зураглал хийж байна.'],бүсчил хөгжил болго бүс засч чад тухай зур улс ор дая зураглал хий бай,14,20
['Бидний гол зорилго бол хэрхэн иргэдийнхээ амьдралыг чанарыг босгож ирэх вэ гэдэг дээр онцгой анхаарч байна гэдгийг онцолсон юм.'],бид зорилго иргэн амьдрал чанар босгож ир дээр онцгой анхаар бай гэдэг онцол,13,20
['ЭРХ БАРИГЧДЫГ МОНГОЛЫН ТӨРӨӨС ХОЛДУУЛАХ ЦАГ БОЛСОНМөн Ардчилсан намын АНын Үндэсний бодлогын хорооны гишүүн АНын дэд дарга Ч.Өнөрбаяр илтгэл тавьсан юм.'],эрх баригчдыг монгол төр холдуулах цаг болсонмөн ардчил нам анын үндэс бодлого хороо гишүүн анын дэд дар ч өнөрбаяр илтгэл тавь,21,22
['Тэрбээр саяхан олон улсын байгууллагаас Засаг төрдөө хэр итгэж байна вэ гэсэн судалгаа хийсэн.'],тэрбээр ол улс байгууллага зас төр хэр итгэ бай судалгаа хий,11,15
['Монголын ард түмний  хувь нь Л.ОюунЭрдэнийн Засгийн газарт итгэхгүй байна.'],монгол ар түмэн хувь л оюунэрдэнийн засаг газар итгэхгүй бай,10,11
['Хамгийн муу рейтингтэй өөрөөр хэлбэл улсаа хорлосон монгол оо хорлосон иргэдийнхээ боломжийг хулгайлсан улстөрчдийн жагсаалтыг шударга ёс гэдэг үгийг хамгийн их үсчүүлж ирсэн МАНын дарга нар тэргүүлэхээр булаацалдан уралдаж байна.'],хамаг муу рейтинг өөр хэлбэл улс хорло монгол оо хорло иргэн боломж хулгайл улстөрчдийн жагсаалт шударга ёс үг хамаг үсчүүлж ир мана дар тэргүүлэхээр булаацалдан уралд бай,27,31
['Эрх баригч нам засаглаж чадахгүй байна.'],эрх баригч нам засагла чадахгүй бай,6,7
['Шударга ёсыг тогтоож хуулийн засаглалыг тогтоож чадахгүй байна.'],шударга ёс тогтоож хууль засаглал тогтоож чадахгүй бай,8,9
['Тэд иргэдийнхээ асуудлыг шийдэж чадахгүй байна.'],тэд асуудал шийд чадахгүй бай,5,7
['Та нар чадах уу гэж иргэд биднээс асууж байна.'],чад иргэн бид асуу бай,5,10
['Бидэнд чадна гэдгээ харуулах ойлгуулах боломж байна.'],бид чад гэдэг харуулах ойлгуулах боломж бай,7,8
['Бидэнд чадаж ирсэн түүх бий.'],бид чад ир түү,4,6
['Бид хэзээ ч Аз жаргалтай Улаанбаатар бий болгоно гээд авлигалаар дүүсэн Улаанбаатар болгоогүй.'],аз жарга улаанбаатар болго авлигалаар дүүсэн улаанбаатар болгоогүй,8,14
['Үнэхээр Э.БатҮүл Д.Баттулга даргын үед нийслэл хот найрсаг Улаанбаатар байсан юм шүү.'],үнэхээр батүүл д баттулга дарга үе нийслэл хот найрс улаанбаатар бай,11,13
['Н.Алтанхуяг Ерөнхий сайдын үед Монгол Улсад хамгийн их бүтээн байгуулалтыг хийсэн.'],н алтанхуяг ерөнхий сайд үе монгол улс хамаг бүтээ байгуулалт хий,11,12
['Үнэн.Ц.Элбэгдорж Ерөнхийлөгчийн үед Асемын дээд хэмжээний уулзалт хийж дэлхийн хамгийн томчуудыг Улаанбаатарт цуглуулж байсан.'],үнэн  ц элбэгдорж ерөнхийлөгч үе асемын дээд хэмжээ уулзалт хий дэлхий хамаг том улаанбаатарт цуглуулж бай,16,15
['Гэтэл өнөөдөр яаж байна.'],гэ бай,2,5
['МАНын сайд нар гадаадын компанид захиа бичих тухай жижигхэн улс төр яриад сууж байгаа шүү дээ.'],мана сайд гадаад компани захиа бич жижигхэн улс төр ярь суу бай,12,17
['Ингэтлээ Монголын төрийг жижиглэсэн.'],ингэтлээ монгол төр жижиглэ,4,5
['Энэ үйлдэл нь эргээд Монголын үнэ цэнийг унагаасан.'],энэ эргэ монгол үнэ цэнэ унагаасан,6,9
['Үүнийг бид буцааж засч залруулж босгож чадна.'],буцааж засч залруулж босгож чад,5,8
['Үүнийг бид нар хамтдаа хийнэ.'],хамт хий,2,6
['Амьд явахад их л юм үздэг юм байна.'],амьд явахад үз бай,4,9
['Монгол Улсын Засгийн газар  сайдтай болтлоо данхар бүтэцтэй болохыг үздэг л юм байна.'],монгол улс засаг газар сайд болтлоо данхар бүтэц болохыг үз бай,11,14
['Тэр дундаа Түгжрэлийн сайд дэлхийн ямар улс оронд байдаг бүтэц вэ.'],тэр түгжрэл сайд дэлхий улс ор бай бүтэц,8,12
['Дэлхийд түгжрэл ярьдаг автобус худалдаж авах тухай автобусны шугам өнөөдөр тэгш сондгойгоор явах тухай яриад зогсож байдаг монгол төрийн сайдтай болохыг бас үздэг л юм байна.'],дэлхийд түгжрэл ярь автобус худалдаж ав автобус шугам өнөөдөр тэгш сондгой яв ярь зогс бай монгол төр сайд болохыг үз бай,21,27
['Дэлхий дээр Монгол Улс шиг Олимпийн сайд гэсэн албан тушаал хашдаг ямар сайд байна.'],дэлхий дээр монгол улс олимпийн сайд албан тушаал хаш сайд бай,11,15
['Хайгаад судлаад үзлээ.'],хай судал үзэл,3,4
